iter	Passed	Remaining
0	1	136
1	2	124
2	3	118
3	4	109
4	5	108
5	6	104
6	7	102
7	8	99
8	9	95
9	10	92
10	11	90
11	12	88
12	12	85
13	13	85
14	14	84
15	15	83
16	16	82
17	18	82
18	19	81
19	19	79
20	20	78
21	21	76
22	22	75
23	23	73
24	24	72
25	25	71
26	25	70
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	37	54
41	38	52
42	39	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	44	44
50	45	44
51	46	43
52	47	42
53	48	41
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	90	0
